abnormal,অস্বাভাবিক
brutalize,বর্বর বা নিষ্ঠুর
brutalizing,নির্মম
brutally,নির্মমভাবে
brute,নরপশু
brutish,পাশবিক
buckle,বক্ল
bug,বাগ
buggy,বগী
bugs,বাগ
bulky,ভারী
bull,ষাঁড়
bull,ষাঁড়
bullies,নিগ্রহ
bullshit,বাজে কথা
bully,চমত্কার
bullying,তর্জন
bum,পশ্চাদ্দেশ
bump,আচমকা
bumps,বাধা বিপত্তি
bumpy,অসমান
bungle,অকার্য
bungler,আনাড়ী কর্মী
bungling,অনৈপুণ্য
bunk,পালান
burden,বোঝা
burdensome,দুর্বহ
burn,পোড়া
burned,পোড়া
burning,জ্বলন্ত
burns,পোড়া
bust,বক্ষ
busts,প্রস্ফুটন ও বিস্ফোরনের
busybody,অনধিকারচর্চাকারী
butcher,কসাই
butchery,কসাইখানা
calamities,বিপর্যয়ের
calamitous,বিপজ্জনক
calamity,ক্লেশ
callous,অনুভূতিহীন
calumniate,পরনিন্দা করা
calumniation,নিন্দাকরণ
calumnies,কলঙ্ক
calumnious,নিন্দাসূচক
calumny,অপবাদ
cancer,ক্যান্সার
cancerous,ক্ষয়জনক
cannibal,রাক্ষস
capitulate,আত্মসমর্পণ করা
capricious,খামখেয়ালী
capriciously,খেয়ালখুশিমত
capsize,উলটান
careless,উদ্বেগহীন
carelessness,অসতর্কতা
caricature,ব্যঙ্গচিত্র
carnage,হত্যাকাণ্ড
carp,দোষারোপ করা
castigate,শাস্তি দেত্তয়া
castrated,নপুংসক
casualty,দুর্ঘটনা
cataclysm,প্লাবন
cataclysmic,ভয়ানক
catastrophe,বিপর্যয়কারী ঘটনা
catastrophes,বিপর্যয়
catastrophic,সর্বনাশা
caustic,শ্লেষাত্মক
cautionary,সতর্কীকরণমূলক
cave,গুহা
censure,অনুযোগ
chafe,রাগান
chaff,তুষ
chagrin,বিরক্তি
challenging,চ্যালেঞ্জিং
chaos,বিশৃঙ্খলা
chaotic,বিশৃঙ্খল
chasten,মার্জিত করা
chastise,তাড়ন করা
chastisement,শাস্তি
chatter,অনর্থক কথা বলা
chatterbox,বাচাল
cheap,সস্তা
cheapen,সুলভ করা
cheaply,সস্তায়
cheat,প্রতারণা
cheated,প্রতারিত
cheater,তঁচক
cheating,প্রতারণা
checkered,ছককাটা
cheerless,নিরানন্দ
cheesy,গোলগাল
chide,ভর্ত্সনা করা
childish,শিশুবৎ
chill,শীতলতা
chilly,ঠাণ্ডাভাবে
choke,শ্বাসরোধ
choleric,দজ্জাল
choppy,অস্থির
chore,টুকিটাকি কাজ
chronic,দীর্ঘকালস্থায়ী
chunky,গাঁট্টাগোট্টা
clamor,গোলমাল
clamorous,উচ্চশব্দকারী
clash,সংঘর্ষ
clique,উপদল
clog,খড়ম
clogged,পানি জমে
clogs,খড়ম
cloud,মেঘ
cloudy,মেঘলা
clueless,পুনের
clumsy,কদাকার
clunky,ক্লাঙ্কি
coarse,মোটা
cocky,ধৃষ্ট
coerce,বাধ্য করা
coercion,বলপ্রয়োগ
coercive,বাধ্যকারী
cold,ঠান্ডা
coldly,ঠাণ্ডাভাবে
collapse,পতন
collude,আঁতাত
collusion,সাজশ
combative,রণশীল
combust,বিস্ফোরণ ঘটাতে
comical,হাস্যরসাত্মক
commiserate,সহানুভূতি প্রকাশ করা
commonplace,প্রাকৃত
commotion,তোলপাড়
commotions,বিদ্রোহের
complacent,প্রসন্ন
complain,নালিশ করা
complained,অভিযোগ
complaining,অভিযোগ
complains,অভিযোগ
complaint,অভিযোগ
complaints,অভিযোগ
complex,জটিল
complicated,জটিল
complication,জটিলতা
complicit,আছে complicit
compulsion,বাধ্যবাধকতা
compulsive,অমোঘ
concede,স্বীকার করা
conceded,স্বীকার
conceit,অহমিকা
conceited,আত্মাভিমানী
concern,উদ্বেগ
concerned,উদ্বিগ্ন
concerns,উদ্বেগ
concession,অনুমোদন
concessions,ছাড়
condemn,নিন্দা করা
condemnable,নিন্দার্হ
condemnation,নিন্দা
condemned,নিন্দিত
condemns,অব্যবহার্য বলে ঘোষণা
condescend,নামিয়া আসা
condescending,ক্ষমশীল
condescendingly,প্রসন্ন হওয়ার
condescension,অনুকংপা
confess,স্বীকার করা
confession,স্বীকারোক্তি
confessions,স্বীকারোক্তি
confined,সীমাবদ্ধ
conflict,দ্বন্দ্ব
conflicted,বিরোধ
conflicting,পরম্পরবিরোধী
conflicts,দ্বন্দ্ব
confound,হতবুদ্ধি করা
confounded,কিংকর্তব্যবিমূঢ়
confounding,বিভ্রান্তি
confront,মুখোমুখি
confrontation,মুকাবিলা
confrontational,মুখোমুখী
confuse,গুলান
confused,বিভ্রান্ত
confuses,বিভ্রান্ত
confusing,বিভ্রান্তিকর
confusion,বিশৃঙ্খলা
confusions,বিভ্রান্তি
congested,ঘনবসতিপূর্ণ
congestion,পূর্ণতা
cons,কনস
conservative,রক্ষণশীল
conspicuous,সুস্পষ্ট
conspicuously,লক্ষণীয়ভাবে
conspiracies,ষড়যন্ত্র
conspiracy,চক্রান্ত
conspirator,চক্রান্তকারী
conspiratorial,ষড়্যন্ত্র-সংক্রান্ত
conspire,চক্রান্ত
consternation,ত্রাস
contagious,সংক্রামক
contaminate,অর্সা
contaminated,কলুষিত
contamination,অপবিত্রতা
contempt,অবজ্ঞা
contemptible,নীচ
contemptuous,ঘৃণাপূর্ণ
contemptuously,ঘৃণাপূর্ণভাবে
contend,তর্কবিতর্ক করা
contention,তর্ক
contentious,কুস্বভাব
contort,মুচড়ান
contortions,প্যাঁচাল
contradict,অস্বীকার করা
contradiction,অসঙ্গতি
contradictory,পরস্পরবিরোধী
contrariness,বিরূদ্ধতা
contravene,লঙ্ঘন করা
contrive,কার্যসাধন করা
contrived,কল্পিত
controversial,বিতর্কমূলক
controversy,বিতর্ক
convoluted,সংবর্ত
corrode,জারা
corrosion,জারা
corrosive,জারক
corrupt,দূষিত
corrupted,দূষিত
corrupting,কলুষিত
corruption,দুর্নীতি
corrupts,দূষিত করে
costlier,ব্যয়বহুল
costly,ব্যয়বহুল
covetous,লোভী
coward,ভীরু
cowardly,অবীর
crabby,কর্কশ
crack,ফাটল
cracked,কর্কশ
cracks,ফাটল
craftily,ছলনা করিয়া
crafty,ধূর্ত
cramp,খিল ধরান
cramped,আবদ্ধ
cranky,খামখেয়ালী
crap,বিষ্ঠা
crappy,ন্যক্কারজনক
craps,পাশার জুয়া
crash,ক্র্যাশ
crashed,ক্র্যাশ
crashes,বিপর্যস্ত
crashing,বিপর্যয়
crass,সংবেদনহীন
craven,নীচ
craze,উন্মত্ততা
crazily,পাগলের মতো
craziness,পাগলামি
crazy,পাগল
creak,কড়্কড়্ শব্দ
credulous,বিশ্বাসপ্রবণ
creep,হামাগুড়ি
creeping,লতানে
creeps,শরীর শির্শির করা
creepy,ছম্ছমে
crime,অপরাধ
criminal,অপরাধী
cringe,ধামা ধরা
cringed,নতি
cringes,ঘৃনা করেন
cripple,কাক
crippled,বিকলাঙ্গ
cripples,অচল
crippling,অসমর্থকরণ
crisis,সঙ্কট
critic,সমালোচক
critical,সংকটপূর্ণ
criticism,সমালোচনা
criticisms,সমালোচনা
criticize,সমালোচনা করা
criticized,সমালোচনা
criticizing,সমালোচনা
critics,সমালোচকদের
crook,বাঁক
crooked,কুটিল
crooks,কথা বলবেন সে ধোঁকাবাজ
crowded,জনাকীর্ণ
crude,অশোধিত
cruel,নিষ্ঠুর
cruelest,নিষ্ঠুরতম
cruelly,নিষ্ঠুরভাবে
cruelties,নিষ্ঠুরতার
cruelty,নিষ্ঠুরতা
crumble,টুকরা টুকরা করা
crummy,টুকরা টুকরা
crumple,ভাঁজ করা
crumpled,লাট
crush,পিষা
crushed,চূর্ণ
crushing,নিষ্পেষণ
cry,কান্না
culpable,নিন্দনীয়
culprit,অভিযুক্ত ব্যক্তি
cumbersome,কষ্টকর
cunt,কান্ট
cunts,বড়ো
curse,অভিশাপ
cursed,অভিশপ্ত
curses,অভিশাপ
curt,চাঁচাছোলা
cuss,অভিশাপ
cussed,বেয়াড়া
cutthroat,গলাকাটা
cynical,কঠোর
damaged,ক্ষতিগ্রস্ত
damages,ক্ষতিটি
damaging,ক্ষতিকর
damn,অভিশাপ
damnable,জঘন্য
damnably,নরকযন্ত্রণায়
damnation,অভিশাপ
damned,জঘন্য
damning,প্রাণনাশক
damper,দাম্পের
danger,ঝুঁকি
dangerous,বিপজ্জনক
dark,অন্ধকার
darken,অন্ধকার করা
darkened,কালো
darker,গাঢ়
darkness,অন্ধকার
dastard,কাপুরূষ
dastardly,কাপুধ়ষোচিত
daunt,ভীত করা
daunting,কঠিন
dawdle,আলস্যে কাটান
daze,ধাঁধা
dazed,ঝলসান
dead,মৃত
deadlock,অচল অবস্থা
deadly,মারাত্মক
deaf,বধির
dearth,অভাব
death,মরণ
debacle,ছত্রভঙ্গ
debase,অপকৃষ্ট করা
debasement,অপকৃষ্টতা
debatable,তর্কসাধ্য
debauch,লম্পট করা
debauchery,লাম্পট্য
debilitate,দুর্বল করা
debility,দৌর্বল্য
debt,ঋণ
debts,ঋণ
decadence,অবক্ষয়
decadent,অধ: পতিত
decay,ক্ষয়
decayed,জীর্ণ
deceit,শঠতা
deceitful,শঠ
deceitfully,মিথ্যা
deceitfulness,ভুলতা
deceive,ছলা
deceiver,ঠগ
deceivers,প্রতারকদের
deceiving,ধোঁকাবাজ
deception,প্রতারণা
deceptive,কূট
deceptively,চাতুরীর সাথে
declaim,আবৃত্তি করা
decline,পতন
declines,হ্রাসের
declining,পড়ন্ত
decrement,হ্রাস
decrepit,জরাজীর্ণ
decrepitude,জরাজীর্ণতা
decry,সমালোচনা করা
defamation,মানহানি
defamatory,মানহানিকর
defame,কুত্সা করা
defect,খুঁত
defective,ত্রুটিপূর্ণ
defects,অপূর্ণতা
defensive,আত্মরক্ষামূলক
defiance,দ্বন্দ্বার্থ আহ্বান
defiant,দ্বন্দ্বার্থ সম্মুখীন
defiantly,ক্ষোভের সঙ্গে
deficiencies,ঘাটতি
deficiency,অভাব
deficient,ন্যূন
defile,গিরিসঙ্কট
deform,আকৃতি বিকৃত করা
deformed,অঙ্গবিহীন
defrauding,প্রতারণা
defunct,বিলুপ্ত
defy,কলা দেখান
degenerate,অধ: পতিত
degeneration,পতন
degradation,ক্ষয়
degrade,অধ: পতন করা
degrading,অধ: পতিত
dehumanization,অমানবীকরণ
dehumanize,ডেহুমনায্স্ করা
deign,প্রসন্ন হত্তয়া
deject,মনমরা করা
dejected,মনমরা
dejectedly,বিষণ্নভাবে
dejection,নৈরাশা
delay,বিলম্ব
delayed,বিলম্বিত
delaying,বিলম্বী
delays,বিলম্ব
delinquency,কর্তব্যে অবহেলা
delinquent,অপরাধী
delirious,উন্মত্ত
delirium,প্রলাপ
delude,অভিভূত করা
deluded,ঠগ
deluge,মহাপ্লাবন
delusion,বিভ্রম
delusional,ভ্রমাত্মক
delusions,বিভ্রম
demean,হীন করা
demeaning,হীন
demise,মরণ
demolish,ধ্বংস করা
demon,দৈত্য
demonic,দুষ্ট
demonized,ভূতে
demoralize,নীতিনষ্ট করা
demoralizing,বাজে
denial,অস্বীকার
denied,অস্বীকৃত
denies,অস্বীকার
denigrate,কলঙ্কিত করা
denounce,সমালোচনা করা
dense,ঘন
dent,গর্ত
dents,dents হয়
denunciation,অভিশাপ
deny,অস্বীকার করা
denying,আত্মত্যাগী
deplete,খালি করা
deplorable,শোচনীয়
deplorably,শোচনীয়ভাবে
deplore,বিলাপ করা
deprave,দূষিত করা
depraved,চরিত্রহীন
deprecate,গম্ভীর করা
depress,দমান
depressed,অবনমিত
depressing,বিষণ্ণ
depression,বিষণ্নতা
depressions,নিম্নচাপ
deprive,বঞ্চিত
deprived,বঞ্চিত
deride,ঠাট্টা করা
derision,উপহাস
derisive,উপহাস্য
derogatory,হানিকর
desecrate,অপবিত্র করা
desert,মরুভূমি
desertion,ছলনা
desiccate,শুকান
desiccated,শুষ্ক
desolate,জনশূন্য
desolation,নির্জনতা
despair,হতাশা
despairing,নিরাশ্বাস
despairingly,হতাশ
desperate,মরিয়া
desperately,নিদারুণভাবে
desperation,হতাশা
despicable,ঘৃণ্য
despise,অবজ্ঞা করা
despised,তুচ্ছ
despoil,বিহীন করা
despondence,নৈরাশা
despondency,হতাশা
despondent,হতাশ
despot,শাসক
despotic,সার্বভৌম
despotism,স্বৈরতন্ত্র
destitute,পরিত্যক্ত
destitution,নি: সঙ্গতা
destroy,ধ্বংস
destroyer,অপহন্তা
destruction,ধ্বংস
destructive,ধ্বংসাত্মক
desultory,নিয়মশৃঙ্খলাহীন
deter,ভয় দেখাইয়া নিবৃত্ত করা
deteriorate,ধসা
deteriorating,অধোগামী
deterioration,ক্ষয়
deterrent,প্রতিবন্ধক
detest,ঘৃণা করা
detestable,ঘৃণিত
detested,অবজ্ঞাজনক
detests,ঘৃণা
detract,খর্ব করা
detraction,হরণ
detracts,এমনভাবে
detriment,ক্ষতি
detrimental,ক্ষতিকারক
devastate,ধ্বংসান
devastated,বিধ্বস্ত
devastating,বিধ্বংসী
devastation,বিধ্বংস
deviate,পথভ্রষ্ট করা
deviation,চ্যুতি
devil,শয়তান
devilish,শয়তানসুলভ
devilment,দুষ্ঠামি
devilry,শয়তানি
devious,আঁকাবাঁকা
deviousness,আঁকাবাঁকাতা
devoid,বর্জিত
diabolic,শয়তানসুলভ
diabolical,নারকীয়
diabolically,বিরক্তিকরভাবে বারবার
diametrically,সম্পূর্ণভাবে
diatribe,সুদীর্ঘ বিতর্ক
dick,শিশ্ন
dictator,একনায়ক
dictatorial,স্বৈর
die,মরা
died,মারা যান
dies,ডাইস
difficult,কঠিন
difficulties,অসুবিধা
difficulty,অসুবিধা
diffidence,কুণ্ঠা
dilapidated,জীর্ণ
dilemma,উভয়সঙ্কট
dillydally,ঘুরিয়া বেড়ান
dim,অস্পষ্ট
dimmer,অপেক্ষারত গাড়ির ছোটো আলো
ding,একঘেয়েমি
dings,ডিং
dinky,ফুটফুটে
dire,ভয়ানক
dirt,ময়লা
dirty,মলিন
disable,অক্ষম
disabled,অক্ষম
disaccord,অননুমোদন
disadvantage,অসুবিধা
disadvantaged,অনগ্রসর
disadvantageous,অসুবিধাজনক
disadvantages,অসুবিধেও
disaffected,বিরক্ত
disaffirm,ত্যাজ্য করা
disagree,অসম্মতি
disagreeable,ভিন্নমত
disagreed,অনভিপ্রেত
disagreeing,নারাজ
disagreement,ভেদ
disagrees,একমত নন
disallow,অনুমতি না করা
disappoint,নিরাশ করা
disappointed,হতাশ
disappointing,হতাশাদায়ক
disappointingly,হতাশাজনক
disappointment,হতাশা
disappointments,হতাশা
disappoints,হতাশ
disapprobation,অননুমোদন
disapproval,অসমর্থন
disapprove,অগ্রাহ্য করা
disapproving,অনভিলাষী
disarm,নিরস্ত্র করা
disarray,ছত্রভঙ্গ
disaster,বিপর্যয়
disastrous,সর্বনাশা
disavow,অস্বীকার করা
disavowal,অস্বীকৃতি
disbelief,অবিশ্বাস
disbelieve,অবিশ্বাস করা
disbeliever,অবিশ্বাসী
disclaim,দাবি ত্যাগ করা
discomfit,ছত্রভঙ্গ করা
discomfort,অস্বস্তি
discompose,অস্থির করা
disconcert,কুণ্ঠিত করা
disconcerted,বিভ্রান্ত
disconsolate,সান্ত্বনার অসাধ্য
discontent,অসন্তোষ
discontented,অসন্তুষ্ট
discontinued,বিরত
discontinuity,বিচ্ছিন্নভাবে
discontinuous,সান্তার
discord,অনৈক্য
discordance,হৈচৈ
discordant,বিবদমান
discountenance,সমর্থন না করা
discourage,আত্মবিশ্বাসহীন করা
discouragement,আত্মবিশ্বাসহীনতা
discouraging,নিরুৎসাহিত
discourteous,অভদ্র
discourteously,অভদ্র
discredit,অখ্যাতি
discrepant,বিরোধী
discriminate,ভেদ করা
discrimination,বৈষম্য
discriminatory,পক্ষপাতমূলক
disdain,অবজ্ঞা
disdained,তুচ্ছ
disdainful,তাচ্ছল্যপূর্ণ
disdainfully,ঘৃণাপূর্ণভাবে
disfavor,অপছন্দ
disgrace,মর্যাদাহানি
disgraced,নিন্দিত
disgraceful,মর্যাদাহানিকর
disgruntle,মেজাজ বিগড়ে দেওয়া
disgruntled,খেয়ালী
disgust,বিতৃষ্ণা
disgusted,বিতৃষ্ণ
disgustful,নিদারূণ বিরক্তিকর
disgusting,ন্যক্কারজনক
dishearten,নিরূত্সাহ করা
dishonest,অসাধু
dishonestly,অসৎ
dishonesty,অসাধুতা
dishonor,অসম্মান
dishonorable,অপমানজনক
disillusion,মোহমুক্তি
disillusioned,মোহমুক্ত
disillusionment,মোহমুক্তি
disinclination,অনিচ্ছা
disinclined,বীতস্পৃহ
disingenuous,কপট
disintegrate,ভাঙ্গা
disintegrated,ভাঙ্গা
disintegration,বিভেদ
disinterest,উদাস
disinterested,নির্লিপ্ত
