bloodbrothers,রক্তের ভাই
bohemian,ভবঘুরে ধরনের লোক
soul,আত্মা
bohosoul,bohosoul
badassery,badassery
bestselling,সেরা বিক্রয়
better,উত্তম
and,এবং
better,উত্তম
betterknown,ভাল পরিচিত
betterthanexpected,আশাতিরিক্ত
beyond,তার পরেও
thank,ধন্যবাদ
you,আপনি
big,বিশাল
vision,দৃষ্টি
blithesome,ফূর্তিবাজ
blossoming,অঙ্কুরোদ্গম
bonuscare,bonuscare
caring,যত্নশীল
calm,শান্ত
create,সৃষ্টি
creative,সৃজনী
creativity,সৃজনশীলতা
creativeness,creativeness
capable,সক্ষম
capability,সামর্থ্য
capably,দক্ষভাবে
celebrate,উদযাপন
celebration,অনুষ্ঠান
certain,নির্দিষ্ট
certainty,নিশ্চয়তা
charitable,দাতব্য
charity,দানশীলতা
charm,কবজ
charming,কমনীয়
charmer,যাদুকর
choice,পছন্দ
clean,পরিষ্কার
cleanliness,শুচিতা
comfort,সান্ত্বনা
comfortable,সুখী
comforting,সান্ত্বনাকারী
cuddle,আলিঙ্গন করা
cuddling,cuddling
candor,অকপটতা
carefulness,সাবধানতার
challenge,চ্যালেঞ্জ
change,পরিবর্তন
cheerful,আনন্দিত
cheerfulness,প্রফুল্লতা
clarity,নির্মলতা
collaboration,সহযোগিতা
commitment,প্রতিশ্রুতি
communication,যোগাযোগ
community,সম্প্রদায়
compassion,সমবেদনা
compassionate,দয়াশীল
competent,উপযুক্ত
competence,কর্মদক্ষতা
competency,পারদর্শিতা
concentration,একাগ্রতা
confident,সুনিশ্চিত
confidence,বিশ্বাস
consciousness,চেতনা
consistency,দৃঢ়তা
consistent,সঙ্গত
content,সন্তুষ্ট
contentment,তৃপ্তি
continuity,ধারাবাহিকতা
continuous,একটানা
contribution,অবদান
conviction,দণ্ডাজ্ঞা
convincing,বিশ্বাসী
cooperation,সহযোগিতা
courage,সাহস
courtesy,শ্লীলতা
courteous,বিনীত
curious,অদ্ভুত
curiosity,কৌতুহল
chakra,চক্র
cool,শীতল
clear,পরিষ্কার
headed,মস্তকবিশিষ্ট
centered,কেন্দ্রিক
closeness,ঘনিষ্ঠতা
companionship,সাহচর্য্য
considerate,সহানুভূতিশীল
consideration,বিবেচনা
communion,আলাপন
connect,সংযোগ করা
connected,সংযুক্ত
connection,সংযোগ
connectedness,connectedness
conquer,জয় করা
cute,চতুর
charisma,অনন্যসাধারণ প্রতিভা
charismatic,সহজাত দক্ষতা সম্পন্ন
collected,সংগৃহীত
cheerful,আনন্দিত
willingness,সম্মতি
cheers,চিয়ার্স
congruence,সঙ্গতি
cordial,আন্তরিক
crank,ঢিলা
up,আপ
capital,রাজধানী
corking,বন্ধকারী
clear,পরিষ্কার
caress,আদর
cheerful,আনন্দিত
mood,মেজাজ
complimentary,প্রশংসাসূচক
words,শব্দ
contented,সন্তুষ্ট
coziness,coziness
cuteness,বুদ্ধিসম্পন্নতা
carefreeness,carefreeness
carefree,ভাবনাহীন
centering,কেঁদ্রীকরণ
centering,কেঁদ্রীকরণ
meditation,ধ্যান
citizen,নাগরিক
of,এর
mastery,আধিপত্য
cocreating,cocreating
cocreator,cocreator
cohesion,সংযোগ
continual,ক্রমাগত
stream,প্রবাহ
of,এর
synchronicity,সামঞ্জস্যের
creative,সৃজনী
processdirection,processdirection
delicate,উপাদেয়
decent,শালীন
desirable,কাম্য
delicious,সুস্বাদু
deliciousness,মাধুরী
do,করা
dream,স্বপ্ন
dreamy,স্বপ্নময়
dynamic,প্রগতিশীল
daring,সাহসী
decisiveness,সিদ্ধান্তহীনতার
delight,আমোদ
delighted,খুশি
delightful,আনন্দদায়ক
dependability,পরাধীনতা
desire,ইচ্ছা
determination,নিরূপণ
devotion,ভক্তি
dignity,সম্মান
diligence,অধ্যবসায়
discipline,শৃঙ্খলা
discovery,আবিষ্কার
discretion,বিচক্ষণতা
diversity,বৈচিত্র্য
drive,ড্রাইভ
duty,দায়িত্ব
divine,ঐশ্বরিক
dazzled,ঝলসিত
disney,ডিজনি
devoted,অনুগত
dandy,সপ্রতিভ
daimon,daimon
debonair,সুদর্শনতা
detachment,বিচু্যতি
dedicated,নিবেদিত
dauwtrappen,dauwtrappen
dazzle,ঝলসানি
delightfully,delightfully
defencelessness,defencelessness
deeper,গভীর
part,অংশ
of,এর
you,আপনি
deserve,প্রাপ্য
deservedness,যোগ্যতা
deservingness,deservingness
disidentify,disidentify
dope,আফিম
dope,আফিম
chill,শীতলতা
outempathy,outempathy
empathize,empathize
emphatic,সতেজ
easy,সহজ
easily,সহজে
easier,সহজ
educate,শিক্ষিত করা
education,শিক্ষা
educated,শিক্ষিত
efficient,দক্ষ
enable,সক্ষম করা
enabled,সক্রিয়
energetic,অনলস
energize,শক্তি ভরণ করা
energy,শক্তি
engage,চুক্তিবদ্ধ করান
engaging,আকর্ষক
engaged,জড়িত
enjoy,উপভোগ
enjoyment,রমণ
enough,যথেষ্ট
eager,আগ্রহী
eagerness,আগ্রহ
effectiveness,কার্যকারিতা
efficiency,দক্ষতা
elation,উল্লাস
elegance,কমনীয়তা
encourage,উত্সাহিত করা
encouragement,অনুপ্রেরণা
encouraged,প্রণোদিত
endurance,সহনশীলতা
equality,সমতা
excellence,শ্রেষ্ঠত্ব
excellent,চমত্কার
excite,জাগান
excitement,হুজুগ
excited,উত্তেজিত
experience,অভিজ্ঞতা
expertise,অভিজ্ঞতা
exploration,অন্বেষণ
expressiveness,expressiveness
expressing,প্রকাশ
enlightenment,জ্ঞানদান
eternal,অনন্ত
exaltation,উচ্চপদ
emulate,অনুকরণ করা
empower,ক্ষমতাপ্রদান করা
empowering,ক্ষমতায়নের
empowered,ক্ষমতায়
expansive,অকপট
exhilarating,উল্লাসজনক
enthusiastic,উদ্যমী
enthusiasm,উদ্যম
engrossed,নিবিষ্ট
enchanted,মায়াময়
entranced,ভীষনভাবে
ecstatic,ভাবাবেশকর
elated,গর্বিত
enthralled,মুগ্ধ
exuberant,সমৃদ্ধ
exuberance,উদ্দীপনা
expectant,প্রত্যাশী
equanimous,ক্ষান্ত
enlivened,enlivened
efficacy,কার্যক্ষমতা
ease,আরাম
exemplary,আদর্শ
extraordinary,অসাধারণ
earnest,আন্তরিক
elevate,চড়ান
elevated,উবু
equanimity,কামাবশায়িতা
easeofmind,easeofmind
excited,উত্তেজিত
anticipation,অগ্রজ্ঞান
extra,অতিরিক্ত
equity,ন্যায়
equitably,ন্যায়সঙ্গত
equitable,ন্যায়সঙ্গত
easy,সহজ
to,থেকে
talk,আলাপ
to,থেকে
easy,সহজ
to,থেকে
approach,অভিগমন
ecstatify,ecstatify
eudaemonism,eudaemonism
eudaemonist,eudaemonist
eudaemonistic,eudaemonistic
eudaimonia,eudaimonia
eudamonia,eudamonia
evolve,গজান
exalting,exalting
exstatisfy,exstatisfy
exultant,উল্লসিত
astronomical,জ্যোতির্বিদ্যা-সংক্রান্ত
champion,রক্ষক
champ,চিবান
electric,বৈদ্যুতিক
enormous,প্রচুর
exceptional,ব্যতিক্রমী
exciting,উত্তেজনাপূর্ণ
exquisite,সূক্ষ্ম
effortlessness,নিশ্চেষ্টতা
eunoia,eunoia
ecosophy,ecosophy
ebullience,স্ফুটন
embrace,আলিঙ্গন
empowering,ক্ষমতায়নের
words,শব্দ
encouraging,উদ্দীপক
words,শব্দ
erlebnis,erlebnis
effortless,অনায়াস
ease,আরাম
effortlessly,অনায়াসে
ekaggata,ekaggata
embody,মূর্ত করা
the,দ্য
lovefantastic,lovefantastic
feel,মনে
good,ভাল
feeling,অনুভূতি
good,ভাল
flow,প্রবাহ
flowing,প্রবাহিত
fabulous,কল্পিত
fair,ন্যায্য
faith,বিশ্বাস
faithful,বিশ্বস্ত
fame,খ্যাতি
favorite,প্রিয়
fairness,সততা
family,পরিবার
fidelity,বিশ্বস্ততা
flexibility,নমনীয়তা
focus,কেন্দ্রবিন্দু
flourish,ঝঙ্কার
forgive,ক্ষমা করা
forgiving,মার্জনা
forgiveness,ক্ষমা
fortitude,সহ্য
free,বিনামূল্যে
freedom,স্বাধীনতা
frugality,সংযম
fun,মজা
future,ভবিষ্যৎ
friend,বন্ধু
friendly,বন্ধুত্বপূর্ণ
friendship,বন্ধুত্ব
friendliness,বন্ধুভাবাপন্নতা
fascinate,মুগ্ধ করা
fascinated,মুগ্ধ
fulfill,মেটান
fulfilled,পূর্ণ
food,খাদ্য
feisty,কুস্বভাব
feistiness,feistiness
feasible,সাধ্য
fine,জরিমানা
fearless,নির্ভীক
festive,উল্লসিত
festiveness,festiveness
fit,ফিট
fantabulous,অবিশ্বাস্যরকমের চমত্কার
freecycle,freecycle
funerific,funerific
funology,funology
flawless,নিশ্ছিদ্র
famous,বিখ্যাত
fancy,অভিনব
flashy,চটকদার
ftw,FTW
funny,হাস্যকর
jokes,ঢামালি
flaunting,সগর্বে
fondle,আদর করা
frictionlessly,frictionlessly
flawlessly,flawlessly
flourishing,উদীয়মান
fortuitousglow,fortuitousglow
generous,উদার
generosity,দাক্ষিণ্য
generate,জেনারেট
genial,সদয়
genius,প্রতিভা
genuine,অকৃত্রিম
gift,উপহার
give,দিতে
giving,দান
good,ভাল
goodness,ধার্মিকতা
going,চালু
the,দ্য
extra,অতিরিক্ত
mile,মাইল
grace,অনুগ্রহ
gratitude,কৃতজ্ঞতা
gratefulness,কৃতজ্ঞতা
grow,হত্তয়া
growth,উন্নতি
guide,গাইড
guiding,পথনির্দেশক
guidance,পথপ্রদর্শন
god,দেবতা
grounded,গ্রাউন্ডেড
glory,গরিমা
godliness,ধার্মিকতা
goodfeeling,goodfeeling
groovy,খাঁজকাটা
giddy,ঘূর্ণায়মান
glad,আনন্দিত
good,ভাল
health,স্বাস্থ্য
glamor,ইন্দ্রজাল
giggling,giggling
goddess,দেবী
gorgeous,টকটকে
gorgeousness,gorgeousness
grandiosity,grandiosity
generavity,generavity
gentleman,ভদ্রলোক
gargantuan,প্রকাণ্ড
grand,মহান
great,মহান
ginger,আদা
goodhumored,goodhumored
goodwill,মঙ্গলকামনা
greatful,greatful
gemutlichkeit,gemutlichkeit
gibigiana,gibigiana
gigil,gigil
good,ভাল
indwelling,বসবাসী
spirit,আত্মা
good,ভাল
word,শব্দ
good,ভাল
words,শব্দ
goodhumored,goodhumored
goodwill,মঙ্গলকামনা
good,ভাল
fortune,ভাগ্য
gypsy,জিপসি
soul,আত্মা
gamechanger,খেলা পরিবর্তনকারী
generator,উত্পাদক
of,এর
life,জীবন
gracefully,অত্যন্ত শৃঙ্খলার
graciousnesshope,graciousnesshope
hopefulness,আশাপ্রদতা
happiness,সুখ
happy,খুশি
happily,সুখে
harmonious,সুরেলা
harmonize,মিল করা
harmony,সাদৃশ্য
health,স্বাস্থ্য
healthy,সুস্থ
heart,হৃদয়
hello,হ্যালো
help,সাহায্য
helpful,সহায়ক
helping,সাহায্য
hot,গরম
honest,সত্
honesty,ন্যায়পরায়ণতা
human,মানবীয়
humor,মেজাজ
helpfulness,উপকারিতা
hero,বীর
heroism,বীরত্ব
holy,পবিত্র
holiness,বিশুদ্ধতা
honor,সম্মান
hospitality,আতিথেয়তা
humble,নম্র
heaven,স্বর্গ
heavenly,স্বর্গীয়
halo,বর্ণবলয়
heartfelt,হৃদয়গ্রাহী
heartwarming,হৃদয়গ্রাহী
onepointedness,onepointedness
happy,খুশি
hearted,হৃদয়গত আবেগাদিসম্পন্ন
heedful,সতর্ক
handsome,সুদর্শন
huge,বিপুল
highspiritedness,highspiritedness
highly,অত্যন্ত
distinguished,বিশিষ্ট
happy,খুশি
words,শব্দ
heartopening,heartopening
hospitable,অতিথিসেবাপরায়ণ
human,মানবীয়
flourishing,উদীয়মান
highly,অত্যন্ত
distinguished,বিশিষ্ট
harness,সাজ
heightened,অতিরিক্ত
holistic,হোলিস্টিক
holy,পবিত্র
spiritimagination,spiritimagination
inspire,অনুপ্রাণিত করা
inspiration,প্রেরণা
inspired,অনুপ্রাণিত
inspirational,অনুপ্রেরণীয়
inlove,প্রণয়াসক্ত
idea,ধারণা
incredible,অবিশ্বাস্য
innovate,পরিবর্তন করা
innovation,নবপ্রবর্তিত বস্তু
interesting,মজাদার
interest,স্বার্থ
interested,আগ্রহী
improvement,উন্নতি
independence,স্বাধীনতা
influence,প্রভাব
ingenuity,অকপটতা
inner,ভিতরের
peace,শান্তি
insight,সূক্ষ্মদৃষ্টি
insightfulness,insightfulness
insightful,অন্তর্দৃষ্টিপূর্ণ
integrity,অখণ্ডতা
intelligence,বুদ্ধিমত্তা
intelligent,বুদ্ধিমান
intensity,প্রবলতা
intimacy,অন্তরঙ্গতা
intuitiveness,জন্য intuitiveness
inventiveness,উদ্ভাবনের
investing,বিনিয়োগ
intention,উদ্দেশ্য
invigorate,বলাধান করা
invigorated,চাঙ্গা
intrigued,চক্রান্ত
involve,জড়িত করা
involved,জড়িত
inclusion,অন্তর্ভুক্তি
innocent,নির্দোষ
ineffable,অনির্বচনীয়
intrepid,নিরাতঙ্ক
idealism,আদর্শবাদ
illumination,আলো
illuminated,উদ্ভাসিত
incomparable,অনুপম
invincible,অপরাজেয়
inquisitive,সন্ধানী
infinite,অসীম
infinity,অনন্ত
illustrious,প্রসিদ্ধ
inner,ভিতরের
ichariba,ichariba
chode,chode
ikigai,ikigai
incredible,অবিশ্বাস্য
cuteness,বুদ্ধিসম্পন্নতা
indwelling,বসবাসী
inspirational,অনুপ্রেরণীয়
words,শব্দ
inspiring,দীপক
word,শব্দ
inspiring,দীপক
words,শব্দ
iridescent,চিত্রাভ
illustrious,প্রসিদ্ধ
inner,ভিতরের
inner,ভিতরের
spirit,আত্মা
interconnected,পরস্পরের
interconnectivity,আন্তঃযোগাযোগ
intuitionjoy,intuitionjoy
joyful,আনন্দদায়ক
joyous,আহ্লাদিত
joke,রসিকতা
jolly,বলিষ্ঠ
jovial,প্রফুল্ল
just,মাত্র
justice,বিচার
jubilant,উল্লসিত
juvenescent,ডবকা
jumpy,লাফানে
jammin,jammin
jubilingokindness,jubilingokindness
kind,সদয়
kindheart,kindheart
kindly,কল্যাণকামী
keepup,বজায় রাখা
kiss,চুম্বন
knowledge,জ্ঞান
kittens,বিড়ালছানা
keen,উত্সাহী
kaajhuab,kaajhuab
kalon,Kalon
kilig,kilig
kind,সদয়
words,শব্দ
koibito,koibito
kibunlike,kibunlike
laugh,হাসি
laughing,হাস্যময়
learn,শেখা
learning,শিক্ষা
life,জীবন
live,জীবিত
living,জীবিত
luxury,বিলাসিতা
longevity,দীর্ঘায়ু
loyalty,আনুগত্য
loyal,বিশ্বস্ত
love,ভালবাসা
lovable,স্নেহের যোগ্য
loving,স্নেহময়
liberty,স্বাধীনতা
logic,যুক্তিবিদ্যা
leader,নেতা
leadership,নেতৃত্ব
luck,ভাগ্য
lucky,ভাগ্যবান
light,আলো
lovingkindness,প্রেমময় উদারতা
lively,জীবন্ত
life,জীবন
of,এর
the,দ্য
party,পার্টি
lovely,সুদৃশ্য
loving,স্নেহময়
acceptance,গ্রহণযোগ্যতা
loving,স্নেহময়
feelings,অনুভূতি
lightworker,lightworker
leading,নেতৃত্ব
light,আলো
fog,কুয়াশা
lives,জীবন
through,মাধ্যমে
love,ভালবাসা
words,শব্দ
lover,প্রেমিকা
of,এর
beauty,সৌন্দর্য
lustrous,চিকন
lustrous,চিকন
colors,রং
lighthearted,হাসি তামাশার ব্যপারও
leeway,অতি সামান্য বিচ্যুতি
let,দিন
go,যাওয়া
letting,লেট
go,যাওয়া
liveliness,প্রাণবন্ততা
love,ভালবাসা
fulfilledmeaning,fulfilledmeaning
meaningful,অর্থপূর্ণ
more,অধিক
magnificent,মহৎ
majesty,মহিমা
many,অনেক
marvelous,অবিশ্বাস্য
merit,যোগ্যতা
motivate,অনুপ্রাণিত করা
miracle,অলৌকিক ঘটনা
magic,জাদু
making,তৈরীর
a,একটি
difference,পার্থক্য
mastery,আধিপত্য
maturity,পরিপক্বতা
mindful,সতর্ক
mindfulness,মনোযোগসহকারে
modesty,বিনয়
motivation,প্রেরণা
motivational,প্রেরণাদায়ী
mercy,করুণা
meditation,ধ্যান
mindblowing,অভূতপূর্ব
mellow,কোমল করা
moved,সরানো
movement,আন্দোলন
mutuality,ভাগাভাগি
mourning,শোক
meliorism,meliorism
mench,mench
mindsight,mindsight
mindsight,mindsight
major,মুখ্য
mild,হালকা
meaningful,অর্থপূর্ণ
words,শব্দ
memorable,স্মরণীয়
morphing,মর্ফ
motivated,উদ্দেশ্যমূলক
words,শব্দ
motivating,প্রেরণা
words,শব্দ
motivational,প্রেরণাদায়ী
words,শব্দ
moving,চলন্ত
magnetic,চৌম্বক
to,থেকে
love,ভালবাসা
mirthful,হাসিখুশি
myriadnoble,myriadnoble
nurturing,এবং- xid
nurture,শিক্ষাদান
nonresistance,nonresistance
nonresistant,nonresistant
new,নতুন
nice,চমৎকার
nirvana,নির্বাণ
neat,ঝরঝরে
naturemade,প্রকৃতি তৈরি
nourish,পুষা
nourished,পুষ্ট
nourishing,পুষ্টিকর
nourishment,পুষ্টি
namaste,নমস্তে
neoteny,neoteny
nice,চমৎকার
words,শব্দ
novaturientoptimist,novaturientoptimist
optimistic,আশাবাদী
outstanding,অনিষ্পন্ন
ok,ঠিক আছে
on,উপর
onwards,অগ্রে
open,খোলা
openly,খোলাখুলি
opening,উদ্বোধন
openminded,খোলা মনের
opportunity,সুযোগ
original,মূল
openness,অকপটতা
optimism,আশাবাদ
order,ক্রম
organization,সংগঠন
originality,মৌলিকত্ব
outcome,ফলাফল
orientation,ঝোঁক
obedient,অনুগত
open,খোলা
hearted,হৃদয়গত আবেগাদিসম্পন্ন
omg,ঈশ্বর
overcome,পরাস্ত
om,ওম
mani,মনি
padme,padme
hum,গুন্ গুন্
outgoing,বিদায়ী
oneness,একত্ব
outernationalist,outernationalist
overly,মাত্রাতিরিক্ত
optimistic,আশাবাদী
orenda,orenda
owning,মালিক
your,তোমার
powerperfect,powerperfect
perfection,পরিপূর্ণতা
positive,ধনাত্মক
energy,শক্তি
positive,ধনাত্মক
thoughts,চিন্তা
positive,ধনাত্মক
events,ঘটনাবলী
positive,ধনাত্মক
circumstances,পরিস্থিতি
positive,ধনাত্মক
beliefs,বিশ্বাসের
peace,শান্তি
pacify,ঠাণ্ডা করা
paradise,নন্দনকানন
paradisiac,স্বর্গীয় উদ্যান
passion,আবেগ
passionate,কামুক
please,অনুগ্রহ
pure,বিশুদ্ধ
perceptiveness,perceptiveness
perseverance,অধ্যবসায়
persistence,অধ্যবসায়
personal,ব্যক্তিগত
growth,উন্নতি
pleasure,পরিতোষ
positive,ধনাত্মক
attitude,মনোভাব
positive,ধনাত্মক
words,শব্দ
power,ক্ষমতা
powerful,ক্ষমতাশালী
practicality,বাস্তবতা
precision,স্পষ্টতা
preparedness,উদ্যতি
presence,উপস্থিতি
preservation,সংরক্ষণ
privacy,গোপনীয়তা
proactivity,proactivity
proactive,প্ররোচক
progress,উন্নতি
prosperity,সমৃদ্ধি
prosperous,উন্নতিশীল
punctuality,তত্পরতা
punctual,সময়নিষ্ঠ
patience,ধৈর্য
proud,গর্বিত
pleased,খুশি
play,খেলা
playful,কৌতুকপূর্ণ
playfulness,playfulness
participation,অংশগ্রহণ
purpose,উদ্দেশ্য
pickmeup,আমাকে ওঠাও
pronia,pronia
pious,ধার্মিক
puppies,একপাল
polite,ভদ্র
positive,ধনাত্মক
mind,মন
positive,ধনাত্মক
thinking,চিন্তা
pretty,চমত্কার
precious,বহুমূল্য
pardon,ক্ষমা
perkiness,perkiness
piquancy,কটুতা
posichoice,posichoice
posidriving,posidriving
posifit,posifit
posilenz,posilenz
posimass,posimass
posiminder,posiminder
posiratio,posiratio
posiripple,posiripple
posirippler,posirippler
posiripples,posiripples
posisinger,posisinger
posisite,posisite
posistrength,posistrength
positibilitarian,positibilitarian
positraction,positraction
positude,positude
posivalues,posivalues
posiword,posiword
possibilitarian,possibilitarian
promptness,অবলীলা
proto,প্রোটো
priceless,অমূল্য
pep,বীর্য
peppiness,peppiness
permalicious,permalicious
plucky,সাহসী
